id,source,date,gender,age,err_sentence,cor_sentence
grm2208090042706,질문게시판,20210627,F,17,서사의 흐름이 역순행적으로 진행된다고 보는게 맞나요?,서사의 흐름이 역 순행적으로 진행된다고 보는 것이 맞나요?
grm2207290015743,자유게시판,20210709,M,21,근대 이런 시험을 마주할 때 중요한 건 시험 때도 중요하지만 이후 정신력 관리가 더 중요한것같아요.,근데 이런 시험을 마주할 때 중요한 건 시험 때도 중요하지만 이후 정신력 관리가 더 중요한 것 같아요.
grm2209090068921,질문게시판,20211229,M,17,속두와 속력에서공통점이잇다고...,속도와 속력에서 공통점이 있다고...
grm2207290019987,자유게시판,20210224,M,17,제가 자퇴 전 전교권에 들어본적이 있는데요,제가 자퇴 전에 전교권에 들어본 적이 있는데요.
grm2209270109173,SNS,20220419,F,19,쪼금 더 자세한 설명이 필요해요,쪼금 더 자세한 설명이 필요해요.
grm2210110103150,SNS,20190710,F,20,나가알아보면대는데이미 예약하셨다니 뭐...,내가 알아보면 되는데 이미 예약하셨다니 뭐...
grm2209200099764,SNS,20200911,F,20,그 사람의 핑계가 합당하면 그건 그런거겟지,그 사람의 핑계가 합당하면 그건 그런 거겠지.
grm2209020041962,질문게시판,20211026,M,19,연결할 것을 연결하구 구븐할것을 구분해요,연결할 것을 연결하고 구분할 것을 구분해요.
grm2206170043205,질문게시판,20210307,M,17,아님 문제읽고 찾아서 푸는건가요,아니면 문제 읽고 찾아서 푸는 건가요?
grm2207250030465,자유게시판,20211014,F,19,부정 이미의 용언이쓰였기에 읽으면서 매우 거슬렸습니다,부정 의미의 용언이 쓰였기에 읽으면서 매우 거슬렸습니다.
grm2210060109346,SNS,20220415,F,19,말 나눠본 적은 없어도 오며가며 마주친 적은 있습니다!,말 나눠본 적은 없어도 오며 가며 마주친 적은 있습니다!
grm2206140093382,질문게시판,20200507,M,17,없으면 예를 쫌 들어주새요.,없으면 예를 좀 들어주세요.
grm2210210117846,SNS,20220204,M,18,하루종일 앉아만 있으니까 변비심함,하루 종일 앉아만 있으니까 변비 심함.
grm2208160082857,질문게시판,20211113,M,19,그럼사회 서비스 재도에서 소득 재분배 효과가나타난다고 할수없나요?,그럼 사회 서비스 제도에서 소득 재분배 효과가 나타난다고 할 수 없나요?
grm2208310059468,질문게시판,20200803,F,19,페이지스는거 깜빡해써요.,페이지 쓰는 걸 깜빡했어요.
grm2209300115762,SNS,20220213,F,18,설정해도 몇일째 그 시간되도 알람 안울려요,설정해도 며칠째 그 시간 돼도 알람 안 울려요.
grm2209300115967,SNS,20220212,F,17,눈 나와있는 거 올려즐까?,눈 나와있는 거 올려줄까?
grm2208010089649,질문게시판,20201130,F,19,혹시 재가 간과한게잇나?,혹시 제가 간과한 게 있나?
grm2209080070471,질문게시판,20210822,M,18,그러면 진공이아닌상태에서는 어떡게돼나요?,그러면 진공이 아닌 상태에서는 어떻게 되나요?
grm2209190113106,SNS,20220222,M,19,혹시 하루에 몇시간 정도씩 공부하셨는지 알려주실 수 잇나요?,혹시 하루에 몇 시간 정도씩 공부하셨는지 알려주실 수 있나요?
grm2207050033662,자유게시판,20211117,M,17,여러분이재 슬슬 자야 아침일찍일어나서 최상의 컨디션으로 볼수있지안을까요,여러분 이제 슬슬 자야 아침 일찍 일어나서 최상의 컨디션으로 볼 수 있지 않을까요?
grm2208120086297,질문게시판,20190223,M,17,"문화가 단순히 빨리, 의도없이 변하는거은문화 개혁이아니라구하셨습니다.","문화가 단순히 빨리, 의도 없이 변하는 것은 문화 개혁이 아니라고 하셨습니다."
grm2206160044533,질문게시판,20220513,F,16,해설서의이부븐의 설명이 맞는곳인지 잘모르겟습니다,해설서의 이 부분의 설명이 맞는 것인지 잘 모르겠습니다.
grm2208250070427,질문게시판,20220516,M,21,설명해주셨는데 잘이해가 가지않니요.,설명해 주셨는데 잘 이해가 가지 않네요.
grm2206220000615,자유게시판,20220124,F,17,도넛 가게는 사거리도로의 끗과 끗이다.,도넛 가게는 사거리 도로의 끝과 끝이다.
grm2208090045077,질문게시판,20210702,F,17,다스자의 효용이더많기떄문에 파레토 최적이될스없다,다수자의 효용이 더 많기 때문에 파레토 최적이 될 수 없다.
grm2209300100939,SNS,20190619,F,20,강연자가 기상문제으로 이번주에 못오시게되서 그 시간에 랩미팅하는게 되어버랴써,강연자가 기상 문제로 이번 주에 못 오시게 돼서 그 시간에 랩 미팅하는 게 되어버렸어.
grm2209140112610,SNS,20220223,M,19,비교해보시면 쪼끔은 도움이 되실거에요!,비교해 보시면 쪼끔은 도움이 되실 거예요!
grm2209270116907,SNS,20220208,M,23,선생님께서 수업 중간중간 복습에 관해서 말씀 해주시기 떄문에 참고하면 좋습니다,선생님께서 수업 중간중간 복습에 관해서 말씀해 주시기 때문에 참고하면 좋습니다.
grm2207050018591,자유게시판,20210428,F,15,어떠케 시작하면 좋을까요,어떻게 시작하면 좋을까요?
grm2210180106741,SNS,20201221,F,20,어떤걸 중요하게보느냐에따라서 다를것같타!,어떤 걸 중요하게 보느냐에 따라서 다를 것 같아!
grm2209200109461,SNS,20220412,M,18,일단 코 스프레이랑 식염수참고할게요,일단 코 스프레이랑 식염수 참고할게요.
grm2209160119464,SNS,20220127,F,17,수능까지 화이팅하게 공부할 사람모집합니다!,수능까지 파이팅 하게 공부할 사람 모집합니다!
grm2207010038702,자유게시판,20220422,M,20,본관은일과시간에 폰 쓰지말라구는 하는데 따로 걷어가구하진안아요.,본관은 일과시간에 폰 쓰지 말라고는 하는데 따로 걷어가고 하진 않아요.
grm2210040116585,SNS,20220209,M,19,너무 사후적인 대처같아서 잘 납득이 안 가요,너무 사후적인 대처 같아서 잘 납득이 안 가요.
grm2209160116407,SNS,20220210,F,17,댓글보니까 공부 시간 집착하는 분들 있는 거 같타요,댓글 보니까 공부 시간 집착하는 분들 있는 거 같아요.
grm2207260015173,자유게시판,20210721,M,20,저희 학년만 쫌 잘햇어서 의대가 많이 나왔었네요,저희 학년만 좀 잘해서 의대가 많이 나왔었네요.
grm2208160073495,질문게시판,20220521,M,17,문재 첫줄은 어떻게해석해야하나요?,문제 첫 줄은 어떻게 해석해야 하나요?
grm2210120110480,SNS,20220322,F,23,마음 맞는 친구를 찾아서 잘 지내면 되는거니까요,마음 맞는 친구를 찾아서 잘 지내면 되는 거니까요.
grm2207250021523,자유게시판,20201123,F,21,조금조금씩 적고있는데 과목별로 침착하자라는 말은 꼭 있더라구요,조금씩 조금씩 적고 있는데 과목별로 침착하자라는 말은 꼭 있더라고요.
grm2207050030656,자유게시판,20220108,F,16,저는고냥 작대기 찍 그려놓는데,저는 그냥 작대기 찍 그려놓는데.
grm2210130119082,SNS,20220128,F,19,나중에 책도 보고 필기도 보고 일석 이조라 생각해요,나중에 책도 보고 필기도 보고 일석이조라 생각해요.
grm2208220041762,질문게시판,20220112,M,18,텍스트를 약간 바꿔서 쓴건지 아니면 이 부분도 트린 부분인지 모르겟어요,텍스트를 약간 바꿔서 쓴 건지 아니면 이 부분도 틀린 부분인지 모르겠어요.
grm2208160041967,질문게시판,20211026,F,19,혼자푸려고 산 책 아니고 강이들으려고 산 책임니다.,혼자 풀려고 산 책은 아니고 강의를 들으려고 산 책입니다.
grm2209200105766,SNS,20180129,F,10,약간 빈다는느낌이들면 거기가 정답입니다.,약간 빈다는 느낌이 들면 거기가 정답입니다.
grm2208040042691,질문게시판,20210630,M,20,해설지에는 오타유무를 질믄한 것 입니다!,해설지에는 오타 유무를 질문한 것입니다!
grm2206240022339,자유게시판,20201011,F,17,수능준비하면서 수시로 논술도 준비하려구 하는대요,수능 준비하면서 수시로 논술도 준비하려고 하는데요.
grm2207040027688,자유게시판,20220408,M,16,내신기간에만이런데저도 발리하구 쉬고싶네요,내신 기간에만 이런데 저도 빨리하고 쉬고 싶네요.
grm2207290031870,자유게시판,20210630,M,18,전 주로 재가 헷갈렸던 믄재들 추려서 재대로다시풀어보았어요.,저는 주로 제가 헷갈렸던 문제들 추려서 제대로 다시 풀어보았어요.
grm2206170051753,질문게시판,20210820,F,20,주인공의내적 갈등이라고생각해씁니다,주인공의 내적 갈등이라고 생각했습니다.
grm2206130071484,질문게시판,20220417,M,17,재목과 같이잘모르겟어요.,제목과 같이 잘 모르겠어요.
grm2207290024358,자유게시판,20210723,F,17,저두 영어 회화잘하구싶내요.,저도 영어 회화 잘하고 싶네요.
grm2208180044984,질문게시판,20220317,F,16,이 셋의차이점을 잘모르게써요,이 셋의 차이점을 잘 모르겠어요.
grm2210050107365,SNS,20220521,F,19,특히 저는 학점을 안 챙겨서 수험생도 나름 즐겁게 보냈지만 학생과는 차원이 다른 듯 합니다,특히 저는 학점을 안 챙겨서 수험생도 나름 즐겁게 보냈지만 학생과는 차원이 다른 듯합니다.
grm2207200016961,자유게시판,20210617,F,15,얼른 영상 올라왔으면 좋겠어요,얼른 영상이 올라왔으면 좋겠어요.
grm2210060108752,SNS,20220424,M,20,이과 교차도 진지하게 생각해볼만 히다고 생각해요,이과 교차도 진지하게 생각해 볼 만하다고 생각해요.
grm2208240075626,질문게시판,20211109,M,19,접선과 원점의 거리가 최소라는 조건도업는데외 서로수직인가요?,접선과 원점의 거리가 최소라는 조건도 없는데 왜 서로 수직인가요?
grm2209200111170,SNS,20220309,M,19,문학만 푸는데 몇분 정도 걸리시는지 여쭤봐도 될까요?,문학만 푸는데 몇 분 정도 걸리시는지 여쭤봐도 될까요?
grm2210110115512,SNS,20220214,F,17,쉽구 정확하게 아실 수 있을거에요!,쉽고 정확하게 아실 수 있을 거예요!
grm2208020070665,질문게시판,20210820,F,23,생명을하다가 유전 극복을못할것같타서 물리로 변경할까 고민이됩니다.,생명을 하다가 유전 극복을 못할 것 같아서 물리로 변경할까 고민이 됩니다.
grm2208260059672,질문게시판,20190403,F,18,아니면 무력 충돌 업씨걍 대립한건가여?,아니면 무력 충돌 없이 그냥 대립한 건가요?
grm2210120114268,SNS,20220218,F,17,전 이 글 안에서 이미 사과함,전 이 글 안에서 이미 사과함.
grm2210070113601,SNS,20220219,F,18,고소예기는 님이 딴지거셔서 설명해드리느라 말이 길어진 겁니다,고소 얘기는 님이 딴지 거셔서 설명해 드리느라 말이 길어진 겁니다.
grm2209260115791,SNS,20220213,F,16,아무래도 그정도는 돼야겠죠,아무래도 그 정도는 돼야겠죠.
grm2209060044482,질문게시판,20220112,M,18,한파트가 끗나야 채점해야할까요?,한 파트가 끝나야 채점해야 할까요?
grm2209080061239,질문게시판,20201121,M,16,조선 인민 공화국에 민족주의세력이 이탈햇다는것은 나라에서 이탈한거니까 다른나라로 떠났다는건가요?,조선 인민 공화국에 민족주의 세력이 이탈했다는 것은 나라에서 이탈한 거니까 다른 나라로 떠났다는 건가요?
grm2209050041013,질문게시판,20220519,M,18,고전시가 맨 끝에 직급포 정리 해노으셨다고 하셨는데요,고전시가 맨 끝에 직급표 정리 해놓으셨다고 하셨는데요.
grm2210200105001,SNS,20191219,F,20,근데이제 종강시즌이니 비는데잇지않을까?,근데 이제 종강 시즌이니 비는 데 있지 않을까?
grm2208310088959,질문게시판,20210211,F,17,이해햇는데 잘이해한거 맞나요?,이해했는데 잘 이해한 것 맞나요?
grm2208260063840,질문게시판,20211112,F,20,아니면미국과의전쟁 이후에만 실시햇나요?,아니면 미국과의 전쟁 이후에만 실시했나요?
grm2208180068341,질문게시판,20220326,M,18,그리구이풀이가 정석적인풀이인지 궁금합니다.,그리고 이 풀이가 정석적인 풀이인지 궁금합니다.
grm2208170061669,질문게시판,20200924,F,17,식민지를 잃어서 황재가 존재하는나라가 무너지기라도햇다는건가요?,식민지를 잃어서 황제가 존재하는 나라가 무너지기라도 했다는 건가요?
grm2208110071115,질문게시판,20220319,M,16,문제푸는 속두가너무나지안습니다.,문제 푸는 속도가 너무 나지 않습니다.
grm2207190018791,자유게시판,20210415,M,22,저두 성대 다닐 떄 생각이 나네요,저도 성대 다닐 때 생각이 나네요.
grm2209020089171,질문게시판,20220429,F,18,각각 개인과사회의이해에서만 끗나지안는다는말슴이 맞나요?,각각 개인과 사회의 이해에서만 끝나지 않는다는 말씀이 맞나요?
ext0000000120409,뉴스기사,,,,하지만 절망하지 않구 싸우려는 끈질김은 시민의 신뢰를 잃지 않구 잇다.,하지만 절망하지 않고 싸우려는 끈질김은 시민의 신뢰를 잃지 않고 있다.
